,ncalls,total_call_time,total_run_time,total_run_cpp_time
_coriolis_gt4py____gtcuda_b65b593e15,300.0,0.08314959856215864,0.04411897715181112,0.017048120498657227
_diagnose_velocity_x_gt4py____gtcuda_caeaa10f19,300.0,0.0689661615760997,0.03668947552796453,0.014757156372070312
_diagnose_velocity_y_gt4py____gtcuda_e39465021c,300.0,0.06652557861525565,0.03607309760991484,0.014123201370239258
_smagorinsky2d_gt4py____gtcuda_745f7f14e0,300.0,0.27986903523560613,0.24325929337646812,0.017656326293945312
_diagnose_momenta_gt4py____gtcuda_7a3990bc0a,300.0,0.09577882348094136,0.0551315596094355,0.017499446868896484
iadd_gt4py____gtcuda_6e76ea6be8,600.0,0.11870546056888998,0.06934044766239822,0.02553391456604004
step_forward_euler_gt4py____gtcuda_8e0c91c819,300.0,0.3515705835307017,0.29713638103567064,0.02598857879638672
irelax_gt4py____gtcuda_d32e4f51fa,1200.0,0.271038994891569,0.15173713013064116,0.05697965621948242
_montgomery_gt4py____gtcuda_31b44d2690,300.0,0.1418495156103745,0.10967090749181807,0.017537832260131836
step_forward_euler_momentum_gt4py____gtcuda_cdbfc89dd9,300.0,0.5466628244612366,0.46067189960740507,0.04277825355529785
_diagnose_velocity_x_gt4py____gtcuda_eb80af2f56,400.0,0.08899284992367029,0.04808963497634977,0.01891469955444336
_diagnose_velocity_y_gt4py____gtcuda_87a01b2956,400.0,0.08793983329087496,0.048036544816568494,0.01822519302368164
copy_gt4py____gtcuda_3a05d8466c,5296.0,0.8641627483302727,0.44217307807412,0.2079613208770752
_diagnostic_variables_gt4py____gtcuda_504d403875,300.0,0.23826434917282313,0.18434664572123438,0.026573896408081055
_damping_gt4py____gtcuda_4246114cbf,300.0,0.08890746673569083,0.044125901884399354,0.018552064895629883
_smoothing_gt4py____gtcuda_ed1e2962f4,300.0,0.07076315267477185,0.03930793364997953,0.013638019561767578
