,ncalls,total_call_time,total_run_time,total_run_cpp_time
_coriolis_gt4py____gtx86_b65b593e15,300.0,0.5218940454069525,0.4622864034026861,0.4549591541290283
_diagnose_velocity_x_gt4py____gtx86_caeaa10f19,300.0,0.34263002837542444,0.2848433129256591,0.2788231372833252
_diagnose_velocity_y_gt4py____gtx86_e39465021c,300.0,0.3218562789261341,0.26343301369342953,0.2575535774230957
_smagorinsky2d_gt4py____gtx86_745f7f14e0,300.0,4.1052915713516995,4.036003707093187,4.0275726318359375
_diagnose_momenta_gt4py____gtx86_7a3990bc0a,300.0,0.5782485626405105,0.4980443980311975,0.49025797843933105
iadd_gt4py____gtx86_6e76ea6be8,3300.0,2.6728455866687,2.1756743112346157,2.135922431945801
_kessler_gt4py____gtx86_c67cbdc22d,300.0,2.0683555208379403,1.94920552324038,1.9382636547088623
_saturation_adjustment_prognostic_gt4py____gtx86_924fbbe5db,300.0,2.2989129525376484,2.1992908228421584,2.1898326873779297
_vertical_advection_gt4py____gtx86_814981d6fb,300.0,1.700420975452289,1.5656955521553755,1.554478406906128
_fall_velocity_gt4py____gtx86_25fe1899cc,400.0,3.178888130816631,3.1196564552374184,3.110275983810425
_sedimentation_gt4py____gtx86_a305bbebd2,300.0,0.5321923979790881,0.4577437361003831,0.4496753215789795
_diagnose_density_gt4py____gtx86_2c113be791,900.0,0.9943443599622697,0.8284923336468637,0.8124704360961914
step_forward_euler_gt4py____gtx86_eee369de53,300.0,4.869385303463787,4.677393682184629,4.663832902908325
irelax_gt4py____gtx86_d32e4f51fa,2100.0,0.9591980001423508,0.6242536258650944,0.6046228408813477
_montgomery_gt4py____gtx86_31b44d2690,300.0,1.9126131207449362,1.8613857680466026,1.8554580211639404
step_forward_euler_momentum_gt4py____gtx86_cdbfc89dd9,300.0,3.2858251861762255,3.1345990436384454,3.1227505207061768
_diagnose_mass_fraction_gt4py____gtx86_3cee038d3b,900.0,0.9649541696999222,0.7861275022150949,0.7697610855102539
_diagnose_velocity_x_gt4py____gtx86_eb80af2f56,400.0,0.42803085304331034,0.36020092258695513,0.3519716262817383
_diagnose_velocity_y_gt4py____gtx86_87a01b2956,400.0,0.4111404464347288,0.3319191945483908,0.32413625717163086
copy_gt4py____gtx86_3a05d8466c,7594.0,4.767952696187422,3.7734380629844964,3.711418390274048
_diagnostic_variables_gt4py____gtx86_504d403875,300.0,2.115415809326805,2.0298870217520744,2.0205817222595215
_density_and_temperature_gt4py____gtx86_8ab8d340bf,300.0,0.68664979794994,0.6005494393175468,0.5921926498413086
_damping_gt4py____gtx86_4246114cbf,300.0,0.4610482577700168,0.39050499501172453,0.38323378562927246
_accumulated_precipitation_gt4py____gtx86_4dd9ff33fe,100.0,0.03413829847704619,0.0068672532215714455,0.0053250789642333984
_smoothing_gt4py____gtx86_ed1e2962f4,300.0,0.3136520554544404,0.26823569065891206,0.2628793716430664
