,ncalls,total_call_time,total_run_time,total_run_cpp_time
_stencil_gt4py____gtcuda_45fa125417,300.0,0.059621230320772156,0.04508226318284869,0.01784038543701172
_stencil_gt4py____gtcuda_8d5a3e23ae,300.0,0.3936347117414698,0.3821745800669305,0.02044200897216797
_kessler_gt4py____gtcuda_2022cd3ac9,300.0,0.13103079787106253,0.10468673598370515,0.0307614803314209
_saturation_prognostic_gt4py____gtcuda_987e4b8ba1,300.0,0.13085450514336117,0.11900839922600426,0.02476787567138672
copy_gt4py____gtcuda_a28f01dca4,1500.0,0.12875162699492648,0.08872309548314661,0.052689313888549805
_stencil_gt4py____gtcuda_183c0085b0,300.0,0.5174174231651705,0.5007370257226285,0.03918576240539551
_fall_velocity_gt4py____gtcuda_9bd8338835,400.0,0.1290512689447496,0.11085531953722239,0.022603273391723633
_sedimentation_gt4py____gtcuda_af7e18d2eb,300.0,0.1064770060183946,0.0953911141550634,0.01995110511779785
_diagnose_density_gt4py____gtcuda_4b4d32d856,900.0,0.2166324678400997,0.18297073847497813,0.04211831092834473
step_forward_euler_gt4py____gtcuda_58c39ce21b,300.0,0.8085924267652445,0.781889142061118,0.055651187896728516
irelax_gt4py____gtcuda_0eed80f13b,3294.0,0.511455258296337,0.4030598212557379,0.14428496360778809
_montgomery_gt4py____gtcuda_6be125326c,300.0,0.5000741120893508,0.11175161640858278,0.017572641372680664
step_forward_euler_momentum_gt4py____gtcuda_92f86bc1f5,300.0,0.48591779213165864,0.46081041294382885,0.043820858001708984
_diagnose_mass_fraction_gt4py____gtcuda_e2f0d44035,900.0,0.14511061098892242,0.1075010767672211,0.0415654182434082
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,400.0,0.060082531097577885,0.047811648924835026,0.018465757369995117
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,400.0,0.060232739022467285,0.0479866505775135,0.017989158630371094
_diagnostic_variables_gt4py____gtcuda_f0a0200749,300.0,0.5976030392339453,0.19167007328360341,0.026841402053833008
_density_and_temperature_gt4py____gtcuda_6761ec92fc,300.0,0.08703444706043229,0.06847497160197236,0.021435976028442383
_damping_gt4py____gtcuda_a83d533f04,300.0,0.05761669608182274,0.043306190898874775,0.018218994140625
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,100.0,0.010556510009337217,0.006448775151511654,0.004653215408325195
_smoothing_gt4py____gtcuda_e899d53aeb,300.0,0.05207250209059566,0.03914578183321282,0.01369476318359375
