,ncalls,total_call_time,total_run_time,total_run_cpp_time
_stencil_gt4py____gtmc_45fa125417,303.0,0.39877852075733244,0.376034805434756,0.36862874031066895
_stencil_gt4py____gtmc_8d5a3e23ae,303.0,3.538964502455201,3.5142258849809878,3.5051002502441406
_kessler_gt4py____gtmc_2022cd3ac9,303.0,1.902823643758893,1.8722812085761689,1.8619911670684814
_saturation_prognostic_gt4py____gtmc_987e4b8ba1,303.0,2.2718915437581018,2.2442838439601474,2.235128164291382
copy_gt4py____gtmc_a28f01dca4,1515.0,0.280832409276627,0.21391880855662748,0.20344781875610352
_stencil_gt4py____gtmc_183c0085b0,303.0,3.405577003140934,3.37600840756204,3.3643298149108887
_fall_velocity_gt4py____gtmc_9bd8338835,404.0,2.925975776568521,2.8999901133938693,2.8908305168151855
_sedimentation_gt4py____gtmc_af7e18d2eb,303.0,0.8889514763723128,0.8644521751557477,0.8562953472137451
_diagnose_density_gt4py____gtmc_4b4d32d856,909.0,0.8965287421597168,0.8301692244131118,0.8147778511047363
step_forward_euler_gt4py____gtmc_58c39ce21b,303.0,3.182124587823637,3.1422422236646526,3.1281001567840576
irelax_gt4py____gtmc_0eed80f13b,3327.0,1.2269869879237376,1.0727728500496596,1.0447025299072266
_montgomery_gt4py____gtmc_6be125326c,303.0,1.8591783789452165,1.8405832905555144,1.832345962524414
step_forward_euler_momentum_gt4py____gtmc_92f86bc1f5,303.0,2.043546820001211,2.0053451130515896,1.9931559562683105
_diagnose_mass_fraction_gt4py____gtmc_e2f0d44035,909.0,0.8686527100508101,0.798165735672228,0.782219648361206
_diagnose_velocity_x_gt4py____gtmc_e0cf755f83,404.0,0.398314356978517,0.3764622629969381,0.3685622215270996
_diagnose_velocity_y_gt4py____gtmc_a0d4839917,404.0,0.3952462305314839,0.36414616857655346,0.35603904724121094
_diagnostic_variables_gt4py____gtmc_f0a0200749,303.0,2.2552440697327256,2.235482336662244,2.226691722869873
_density_and_temperature_gt4py____gtmc_6761ec92fc,303.0,0.6174627515720204,0.5886682775453664,0.5808188915252686
_damping_gt4py____gtmc_a83d533f04,303.0,0.24358003411907703,0.2241201449651271,0.2189033031463623
_accumulated_precipitation_gt4py____gtmc_543bfca27c,101.0,0.015340449986979365,0.007356875168625265,0.005931854248046875
_smoothing_gt4py____gtmc_e899d53aeb,303.0,0.294997540069744,0.28104972728760913,0.275862455368042
