,ncalls,total_call_time,total_run_time,total_run_cpp_time
_stencil_gt4py____gtcuda_45fa125417,101.0,0.024240873113740236,0.015146069636102766,0.00598597526550293
_stencil_gt4py____gtcuda_8d5a3e23ae,101.0,0.1574211279512383,0.15198330947896466,0.007230281829833984
_kessler_gt4py____gtcuda_2022cd3ac9,101.0,0.05708003317704424,0.0391723393695429,0.010582208633422852
_saturation_prognostic_gt4py____gtcuda_987e4b8ba1,101.0,0.05241187405772507,0.0476675649988465,0.008308649063110352
copy_gt4py____gtcuda_a28f01dca4,1313.0,0.11215486592845991,0.07089936314150691,0.04648947715759277
_stencil_gt4py____gtcuda_183c0085b0,101.0,0.17884008184773847,0.17155086400453,0.014145374298095703
_fall_velocity_gt4py____gtcuda_9bd8338835,202.0,0.07157950516557321,0.05969577858923003,0.011548757553100586
_sedimentation_gt4py____gtcuda_af7e18d2eb,101.0,0.03981166204903275,0.03439422324299812,0.007014751434326172
_diagnose_density_gt4py____gtcuda_4b4d32d856,909.0,0.1464167782687582,0.10754220496164635,0.04236793518066406
step_forward_euler_gt4py____gtcuda_58c39ce21b,303.0,0.9309312148252502,0.9022788925794885,0.05585432052612305
irelax_gt4py____gtcuda_0eed80f13b,2727.0,0.43915713048772886,0.33426878979662433,0.12103652954101562
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.5094649564125575,0.1168322786106728,0.017477750778198242
step_forward_euler_momentum_gt4py____gtcuda_92f86bc1f5,303.0,0.5722811605082825,0.5450299007352442,0.04542136192321777
_diagnose_mass_fraction_gt4py____gtcuda_e2f0d44035,909.0,0.1512291757389903,0.10893639229470864,0.042194366455078125
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06296578102046624,0.048378861392848194,0.018651723861694336
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06294434901792556,0.04852213803678751,0.017913341522216797
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06018311425577849,0.04361805546795949,0.018453359603881836
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.20438024203758687,0.06667296995874494,0.009066343307495117
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.029589629673864692,0.0228492917958647,0.007137298583984375
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011304971063509583,0.006416760792490095,0.004653215408325195
_smoothing_gt4py____gtcuda_e899d53aeb,303.0,0.054430795775260776,0.039443096437025815,0.01383066177368164
