,ncalls,total_call_time,total_run_time,total_run_cpp_time
_diagnose_density_gt4py____gtcuda_4b4d32d856,909.0,0.1502059028716758,0.10708077473100275,0.041678428649902344
step_forward_euler_gt4py____gtcuda_64e17b0bcd,303.0,0.8708922052755952,0.8424166038166732,0.04697751998901367
irelax_gt4py____gtcuda_0eed80f13b,2727.0,0.43805212317965925,0.33598327229265124,0.12320256233215332
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.5089852673700079,0.11684251599945128,0.017062902450561523
step_forward_euler_momentum_gt4py____gtcuda_2f23b77ad0,303.0,0.5386962323682383,0.5127653983654454,0.03915548324584961
_diagnose_mass_fraction_gt4py____gtcuda_e2f0d44035,909.0,0.14771800418384373,0.1068315029842779,0.04001426696777344
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06255771068390459,0.04810808098409325,0.018389225006103516
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06255029467865825,0.0482596781803295,0.017740488052368164
_damping_gt4py____gtcuda_a83d533f04,303.0,0.05958478769753128,0.04333817900624126,0.018273591995239258
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.2045834338059649,0.06696089648175985,0.008892297744750977
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.029460283112712204,0.0228349301032722,0.007016897201538086
_stencil_gt4py____gtcuda_45fa125417,202.0,0.0395611667772755,0.02942056069150567,0.010796308517456055
fma_gt4py____gtcuda_69674dbf7f,3939.0,0.6142274719895795,0.46486031322274357,0.1721038818359375
iaddsub_gt4py____gtcuda_5b57def144,1616.0,0.2761969000566751,0.22555336891673505,0.06737565994262695
_smoothing_gt4py____gtcuda_e899d53aeb,606.0,0.10578466684091836,0.07719856896437705,0.02564096450805664
copy_gt4py____gtcuda_a28f01dca4,3030.0,0.26361956319306046,0.1706014584051445,0.1002497673034668
_stencil_gt4py____gtcuda_8d5a3e23ae,202.0,0.3025523804826662,0.2919030385091901,0.01351022720336914
_kessler_gt4py____gtcuda_2022cd3ac9,202.0,0.09946505702100694,0.0801910056034103,0.02135753631591797
_saturation_prognostic_gt4py____gtcuda_987e4b8ba1,202.0,0.10772740177344531,0.09638705663383007,0.015850305557250977
_stencil_gt4py____gtcuda_183c0085b0,303.0,0.4865619537886232,0.4614221303490922,0.039228200912475586
_fall_velocity_gt4py____gtcuda_9bd8338835,404.0,0.14066064858343452,0.12034638726618141,0.02138662338256836
_sedimentation_gt4py____gtcuda_af7e18d2eb,303.0,0.11034342728089541,0.09610324585810304,0.019861698150634766
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011020295089110732,0.0063830103026703,0.004630565643310547
