,ncalls,total_call_time,total_run_time,total_run_cpp_time
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,202.0,0.02593565813731402,0.012975490768440068,0.009470462799072266
_fall_velocity_gt4py____gtcuda_9bd8338835,707.0,0.2446457293117419,0.21021916973404586,0.03817486763000488
_sedimentation_gt4py____gtcuda_af7e18d2eb,606.0,0.21521747147198766,0.1878834101371467,0.039781808853149414
fma_gt4py____gtcuda_69674dbf7f,8684.0,1.3520965611096472,1.0236155212623999,0.37845897674560547
_stencil_gt4py____gtcuda_183c0085b0,606.0,0.9814934219466522,0.9232349607627839,0.07718348503112793
_saturation_prognostic_gt4py____gtcuda_987e4b8ba1,404.0,0.2140090597094968,0.18773548351600766,0.032441139221191406
copy_gt4py____gtcuda_a28f01dca4,3636.0,0.3437942797318101,0.22571209585294127,0.11995768547058105
_kessler_gt4py____gtcuda_2022cd3ac9,404.0,0.19337590923532844,0.16414386837277561,0.041649580001831055
_stencil_gt4py____gtcuda_8d5a3e23ae,404.0,0.6042060656473041,0.5826180265285075,0.025770902633666992
_stencil_gt4py____gtcuda_45fa125417,404.0,0.07834610785357654,0.05824425723403692,0.02127838134765625
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06284507957752794,0.048402224318124354,0.018654584884643555
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06275157257914543,0.048399520106613636,0.01800990104675293
_diagnose_density_gt4py____gtcuda_4b4d32d856,909.0,0.14627066091634333,0.10783228161744773,0.042284250259399414
step_forward_euler_gt4py____gtcuda_64e17b0bcd,303.0,0.8709442901890725,0.8442935848142952,0.04839491844177246
irelax_gt4py____gtcuda_0eed80f13b,2727.0,0.4394088665721938,0.33762571832630783,0.12482857704162598
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.5087819418404251,0.11662633344531059,0.01717853546142578
step_forward_euler_momentum_gt4py____gtcuda_2f23b77ad0,303.0,0.5372855120804161,0.5114629449089989,0.0388791561126709
_diagnose_mass_fraction_gt4py____gtcuda_e2f0d44035,909.0,0.14818449993617833,0.10728141223080456,0.04047036170959473
_damping_gt4py____gtcuda_a83d533f04,303.0,0.05991195573005825,0.043638643459416926,0.01854681968688965
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.20332966069690883,0.06571137288119644,0.008978605270385742
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.029699763050302863,0.02301976620219648,0.007153987884521484
_smoothing_gt4py____gtcuda_e899d53aeb,606.0,0.10647796385455877,0.07765040965750813,0.02603292465209961
