,ncalls,total_call_time,total_run_time,total_run_cpp_time
_coriolis_gt4py____gtcuda_6a53dbfa33,303.0,0.06069959222804755,0.044649897958151996,0.01708817481994629
_diagnose_velocity_x_gt4py____gtcuda_812031f99c,303.0,0.04967662214767188,0.03668532089795917,0.014513731002807617
_diagnose_velocity_y_gt4py____gtcuda_838c5befc4,303.0,0.04743224917910993,0.03559824207331985,0.013454914093017578
_smagorinsky2d_gt4py____gtcuda_d9468699c6,303.0,0.25866087432950735,0.24492937827017158,0.01789093017578125
_diagnose_momenta_gt4py____gtcuda_7d764d8e25,303.0,0.06940837774891406,0.0552633311599493,0.017045259475708008
iadd_gt4py____gtcuda_5d6486d23e,3333.0,0.4818143730517477,0.37643931910861284,0.1353306770324707
_kessler_gt4py____gtcuda_bf555d9f6f,303.0,0.13507478404790163,0.1057074936106801,0.031685590744018555
_saturation_adjustment_prognostic_gt4py____gtcuda_488bc7ada9,303.0,0.12754321307875216,0.1096530829090625,0.024437427520751953
_vertical_advection_gt4py____gtcuda_f0d8b489ce,303.0,0.4775963827269152,0.4526696096872911,0.04010581970214844
_fall_velocity_gt4py____gtcuda_9bd8338835,404.0,0.16836515732575208,0.14976654609199613,0.02257370948791504
_sedimentation_gt4py____gtcuda_69c2cd22f2,303.0,0.09789877966977656,0.085068175685592,0.02017831802368164
_diagnose_density_gt4py____gtcuda_5605c7f04b,909.0,0.23055289639160037,0.19233282387722284,0.04276156425476074
step_forward_euler_gt4py____gtcuda_58c39ce21b,303.0,0.82626593997702,0.7974952646763995,0.05460977554321289
irelax_gt4py____gtcuda_0eed80f13b,2121.0,0.3347215575631708,0.2590844148071483,0.0930471420288086
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.12511357350740582,0.11255776230245829,0.017058610916137695
step_forward_euler_momentum_gt4py____gtcuda_92f86bc1f5,303.0,0.48606829601339996,0.46443633432500064,0.04279804229736328
_diagnose_mass_fraction_gt4py____gtcuda_7f418e8b04,909.0,0.14131539489608258,0.10792647686321288,0.04048657417297363
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06359052238985896,0.047945569502189755,0.018476009368896484
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06392277241684496,0.048007997567765415,0.017887592315673828
copy_gt4py____gtcuda_a28f01dca4,7662.0,0.8783351804595441,0.6438839951297268,0.296245813369751
_diagnostic_variables_gt4py____gtcuda_f0a0200749,303.0,0.20781660708598793,0.18861231626942754,0.02596306800842285
_density_and_temperature_gt4py____gtcuda_6761ec92fc,303.0,0.08321459533181041,0.06837282993365079,0.020853519439697266
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06250709726009518,0.043786417809315026,0.018199920654296875
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011090157320722938,0.006134342402219772,0.004313468933105469
_smoothing_gt4py____gtcuda_e899d53aeb,303.0,0.05291273596230894,0.0393899695482105,0.013828039169311523
