,ncalls,total_call_time,total_run_time,total_run_cpp_time
_coriolis_gt4py____gtcuda_6a53dbfa33,101.0,0.023423554375767708,0.014875600463710725,0.005614757537841797
_diagnose_velocity_x_gt4py____gtcuda_812031f99c,101.0,0.018253326416015625,0.012151531991548836,0.004758596420288086
_diagnose_velocity_y_gt4py____gtcuda_838c5befc4,101.0,0.01663115166593343,0.011932123568840325,0.004525184631347656
_smagorinsky2d_gt4py____gtcuda_d9468699c6,101.0,0.08764074905775487,0.08149871416389942,0.006188154220581055
_diagnose_momenta_gt4py____gtcuda_7d764d8e25,101.0,0.024564539431594312,0.01831808441784233,0.005599260330200195
iadd_gt4py____gtcuda_5d6486d23e,1111.0,0.15913567459210753,0.12470311007928103,0.044408321380615234
_kessler_gt4py____gtcuda_bf555d9f6f,101.0,0.053784452844411135,0.03500044299289584,0.010460615158081055
_saturation_adjustment_prognostic_gt4py____gtcuda_488bc7ada9,101.0,0.04514083580579609,0.03673949569929391,0.008243560791015625
_vertical_advection_gt4py____gtcuda_f0d8b489ce,101.0,0.16531716322060674,0.15215903893113136,0.014701128005981445
_fall_velocity_gt4py____gtcuda_9bd8338835,202.0,0.08455940522253513,0.07400284986943007,0.01125025749206543
_sedimentation_gt4py____gtcuda_69c2cd22f2,101.0,0.03382532054092735,0.028600493678823113,0.006917238235473633
_diagnose_density_gt4py____gtcuda_5605c7f04b,909.0,0.22932056267745793,0.19163932639639825,0.0416867733001709
step_forward_euler_gt4py____gtcuda_58c39ce21b,303.0,0.8273247752804309,0.7981391713256016,0.05462336540222168
irelax_gt4py____gtcuda_0eed80f13b,2121.0,0.33395569073036313,0.2581945927813649,0.09244084358215332
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.12313583749346435,0.1103411503136158,0.017014741897583008
step_forward_euler_momentum_gt4py____gtcuda_92f86bc1f5,303.0,0.4865300132660195,0.464679007884115,0.04253029823303223
_diagnose_mass_fraction_gt4py____gtcuda_7f418e8b04,909.0,0.14088995347265154,0.107230459805578,0.04068446159362793
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06344044965226203,0.04766132077202201,0.0183866024017334
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06327554932795465,0.04749502392951399,0.017650127410888672
copy_gt4py____gtcuda_a28f01dca4,5858.0,0.6510391928022727,0.471703554270789,0.214508056640625
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06243798218201846,0.04373043356463313,0.01809525489807129
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.07335137040354311,0.06359760242048651,0.00870966911315918
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.02946551633067429,0.02283426176290959,0.006956338882446289
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011030736961401999,0.006109351059421897,0.004317045211791992
_smoothing_gt4py____gtcuda_e899d53aeb,303.0,0.05277823540382087,0.03932671726215631,0.013702392578125
