,ncalls,total_call_time,total_run_time,total_run_cpp_time
_diagnose_density_gt4py____gtcuda_5605c7f04b,909.0,0.22499087220057845,0.1828179752919823,0.040857553482055664
step_forward_euler_gt4py____gtcuda_64e17b0bcd,303.0,0.8733439705101773,0.8444856955902651,0.04574298858642578
irelax_gt4py____gtcuda_0eed80f13b,2121.0,0.32985755358822644,0.2569042523391545,0.09104347229003906
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.12861751613672823,0.11607246636413038,0.016490697860717773
step_forward_euler_momentum_gt4py____gtcuda_2f23b77ad0,303.0,0.5318009451730177,0.5115083763375878,0.037598371505737305
_diagnose_mass_fraction_gt4py____gtcuda_7f418e8b04,909.0,0.1382232605246827,0.1057600638596341,0.03888535499572754
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06277142046019435,0.04746509972028434,0.017764806747436523
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06298330251593143,0.04762611782643944,0.017191171646118164
copy_gt4py____gtcuda_a28f01dca4,6666.0,0.6847836242523044,0.48726004955824465,0.23407411575317383
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06192369956988841,0.043442493421025574,0.017802715301513672
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.07549519545864314,0.06570697796996683,0.00857853889465332
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.02954135404434055,0.022904313285835087,0.007192850112915039
_coriolis_gt4py____gtcuda_6a53dbfa33,202.0,0.038585998700000346,0.028968296595849097,0.010851383209228516
fma_gt4py____gtcuda_69674dbf7f,3939.0,0.6122432430274785,0.46302688657306135,0.17084574699401855
iaddsub_gt4py____gtcuda_5b57def144,1616.0,0.27488041727337986,0.22446552501060069,0.0669548511505127
_smoothing_gt4py____gtcuda_e899d53aeb,606.0,0.10274572460912168,0.07695834129117429,0.025552034378051758
_diagnose_velocity_x_gt4py____gtcuda_812031f99c,202.0,0.032079557538963854,0.024186716182157397,0.009475469589233398
_diagnose_velocity_y_gt4py____gtcuda_838c5befc4,202.0,0.03170052985660732,0.02378780406434089,0.008845806121826172
_smagorinsky2d_gt4py____gtcuda_d9468699c6,202.0,0.21082050551194698,0.20131988974753767,0.011869192123413086
_diagnose_momenta_gt4py____gtcuda_7d764d8e25,202.0,0.046425915439613163,0.03658031637314707,0.01121211051940918
_kessler_gt4py____gtcuda_bf555d9f6f,202.0,0.09185988013632596,0.07179315912071615,0.020625829696655273
_saturation_adjustment_prognostic_gt4py____gtcuda_488bc7ada9,202.0,0.10522366827353835,0.09269939595833421,0.016629457473754883
iadd_gt4py____gtcuda_5d6486d23e,202.0,0.029297107132151723,0.02281991532072425,0.008088350296020508
_vertical_advection_gt4py____gtcuda_f0d8b489ce,303.0,0.47678467200603336,0.45307824027258903,0.038669586181640625
_fall_velocity_gt4py____gtcuda_9bd8338835,404.0,0.16162755200639367,0.14359727234113961,0.021143674850463867
_sedimentation_gt4py____gtcuda_69c2cd22f2,303.0,0.10499076778069139,0.09236305207014084,0.01971721649169922
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.010940286912955344,0.006123709143139422,0.004296541213989258
