,ncalls,total_call_time,total_run_time,total_run_cpp_time
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,202.0,0.022040820913389325,0.012420370476320386,0.008735179901123047
_fall_velocity_gt4py____gtcuda_9bd8338835,707.0,0.2844464578665793,0.2515458712587133,0.038358211517333984
_sedimentation_gt4py____gtcuda_69c2cd22f2,606.0,0.2096294880611822,0.1850293359020725,0.03987264633178711
fma_gt4py____gtcuda_69674dbf7f,7878.0,1.2430611479794607,0.9394508729455993,0.35621213912963867
_vertical_advection_gt4py____gtcuda_f0d8b489ce,606.0,0.9479307120200247,0.8997817172203213,0.07678413391113281
_saturation_adjustment_prognostic_gt4py____gtcuda_488bc7ada9,404.0,0.21086292888503522,0.18528237962163985,0.033164262771606445
_kessler_gt4py____gtcuda_bf555d9f6f,404.0,0.16994584538042545,0.1441965556005016,0.041677236557006836
iadd_gt4py____gtcuda_5d6486d23e,404.0,0.05971689149737358,0.04620184830855578,0.016622066497802734
_diagnose_velocity_x_gt4py____gtcuda_812031f99c,404.0,0.06343662738800049,0.04867569508496672,0.019464969635009766
_diagnose_velocity_y_gt4py____gtcuda_838c5befc4,404.0,0.06275480147451162,0.04769864643458277,0.01813054084777832
_smagorinsky2d_gt4py____gtcuda_d9468699c6,404.0,0.41947649605572224,0.40269538410939276,0.023166656494140625
_diagnose_momenta_gt4py____gtcuda_7d764d8e25,404.0,0.09096673724707216,0.07335579057689756,0.022848844528198242
_coriolis_gt4py____gtcuda_6a53dbfa33,404.0,0.07475319295190275,0.05777010158635676,0.0217592716217041
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06340029288548976,0.04787822684738785,0.01825690269470215
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06377446127589792,0.047976649715565145,0.01755523681640625
copy_gt4py____gtcuda_a28f01dca4,8484.0,0.9043175630504265,0.6476602065376937,0.3062417507171631
_diagnose_density_gt4py____gtcuda_5605c7f04b,909.0,0.22091895435005426,0.1831991020590067,0.0420076847076416
step_forward_euler_gt4py____gtcuda_64e17b0bcd,303.0,0.8706086563179269,0.8464239021996036,0.04646658897399902
irelax_gt4py____gtcuda_0eed80f13b,2121.0,0.3329095537774265,0.25834825122728944,0.09305763244628906
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.12891623144969344,0.11634847044479102,0.01694321632385254
step_forward_euler_momentum_gt4py____gtcuda_2f23b77ad0,303.0,0.5331600052304566,0.5137604008195922,0.03833580017089844
_diagnose_mass_fraction_gt4py____gtcuda_7f418e8b04,909.0,0.1396665034117177,0.1066013677045703,0.039777517318725586
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06251746357884258,0.043783160392194986,0.01809525489807129
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.0758726567728445,0.06607842212542892,0.00860905647277832
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.029680957435630262,0.023024548310786486,0.007300376892089844
_smoothing_gt4py____gtcuda_e899d53aeb,606.0,0.10357230284716934,0.0774307067040354,0.026101112365722656
