,ncalls,total_call_time,total_run_time,total_run_cpp_time
_diagnose_density_gt4py____gtcuda_5605c7f04b,909.0,0.2266829857835546,0.18312026490457356,0.04204201698303223
step_forward_euler_gt4py____gtcuda_64e17b0bcd,303.0,0.8746447070734575,0.8449098744895309,0.046639442443847656
irelax_gt4py____gtcuda_0eed80f13b,2121.0,0.334281490650028,0.25847919029183686,0.09282326698303223
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.12908965861424804,0.11638449074234813,0.016848087310791016
step_forward_euler_momentum_gt4py____gtcuda_2f23b77ad0,303.0,0.5328492209082469,0.5117049268446863,0.03825807571411133
_diagnose_mass_fraction_gt4py____gtcuda_7f418e8b04,909.0,0.14045698870904744,0.10677592875435948,0.03999209403991699
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06376307923346758,0.04799466673284769,0.01831960678100586
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06394556956365705,0.048142542596906424,0.017683982849121094
copy_gt4py____gtcuda_a28f01dca4,6666.0,0.7010656272759661,0.4962051834445447,0.2417006492614746
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06264937890227884,0.0437896674266085,0.018088340759277344
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.07556972210295498,0.0657170502236113,0.008683443069458008
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.029723618528805673,0.023003384354524314,0.007288217544555664
_coriolis_gt4py____gtcuda_6a53dbfa33,202.0,0.039049008628353477,0.029216128634288907,0.011135339736938477
sts_rk2_0_gt4py____gtcuda_3b25765e2d,1616.0,0.31225492514204234,0.24214653426315635,0.09073209762573242
fma_gt4py____gtcuda_69674dbf7f,1616.0,0.24730365618597716,0.1922682502772659,0.07237577438354492
_smoothing_gt4py____gtcuda_e899d53aeb,606.0,0.10416327393613756,0.07756951509509236,0.026164531707763672
_diagnose_velocity_x_gt4py____gtcuda_812031f99c,202.0,0.03266639926005155,0.024485528003424406,0.009862661361694336
_diagnose_velocity_y_gt4py____gtcuda_838c5befc4,202.0,0.03191248665098101,0.023881128407083452,0.008966207504272461
_smagorinsky2d_gt4py____gtcuda_d9468699c6,202.0,0.21095134282950312,0.20117635536007583,0.01202082633972168
_diagnose_momenta_gt4py____gtcuda_7d764d8e25,202.0,0.046924363006837666,0.03676930977962911,0.011433601379394531
_kessler_gt4py____gtcuda_bf555d9f6f,202.0,0.09287145070265979,0.07245236961171031,0.021285295486450195
_saturation_adjustment_prognostic_gt4py____gtcuda_488bc7ada9,202.0,0.10610814753454179,0.0930734045105055,0.017104148864746094
iadd_gt4py____gtcuda_5d6486d23e,202.0,0.029922896181233227,0.023182207834906876,0.008483409881591797
_vertical_advection_gt4py____gtcuda_f0d8b489ce,303.0,0.47846471471711993,0.4542607015464455,0.03990745544433594
sts_rk3ws_0_gt4py____gtcuda_87dcf88644,707.0,0.14034236560110003,0.1059948445763439,0.03932332992553711
_fall_velocity_gt4py____gtcuda_9bd8338835,404.0,0.16117464459966868,0.14230426622088999,0.02195000648498535
_sedimentation_gt4py____gtcuda_69c2cd22f2,303.0,0.10565857216715813,0.09273684583604336,0.020095348358154297
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011129960999824107,0.006182114710099995,0.00435185432434082
