,ncalls,total_call_time,total_run_time,total_run_cpp_time
_diagnose_density_gt4py____gtcuda_5605c7f04b,909.0,0.2264051988022402,0.18306436378043145,0.04196619987487793
step_forward_euler_gt4py____gtcuda_64e17b0bcd,303.0,0.7704739635810256,0.7413333950098604,0.047008514404296875
irelax_gt4py____gtcuda_0eed80f13b,2121.0,0.33605341042857617,0.2601140742190182,0.09441614151000977
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.12388710945378989,0.11126829904969782,0.017185688018798828
step_forward_euler_momentum_gt4py____gtcuda_2f23b77ad0,303.0,0.45277381001506,0.4321825971128419,0.03813672065734863
_diagnose_mass_fraction_gt4py____gtcuda_7f418e8b04,909.0,0.141199950594455,0.10736316360998899,0.04092717170715332
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06419286143500358,0.04842235764954239,0.01884150505065918
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06386854487936944,0.047993908170610666,0.018035888671875
copy_gt4py____gtcuda_a28f01dca4,6565.0,0.699435765389353,0.49246339953970164,0.24277925491333008
_damping_gt4py____gtcuda_a83d533f04,303.0,0.06272044661454856,0.043954257969744503,0.018345117568969727
_diagnostic_variables_gt4py____gtcuda_f0a0200749,101.0,0.07376654993277043,0.06401700957212597,0.008725881576538086
_density_and_temperature_gt4py____gtcuda_6761ec92fc,101.0,0.02938090916723013,0.022722546011209488,0.007051944732666016
_coriolis_gt4py____gtcuda_6a53dbfa33,202.0,0.038925155880860984,0.0291986569063738,0.011118888854980469
fma_gt4py____gtcuda_69674dbf7f,3939.0,0.6253302729455754,0.4735978279495612,0.18020033836364746
_smoothing_gt4py____gtcuda_e899d53aeb,606.0,0.10444800381083041,0.07781661150511354,0.026314496994018555
_diagnose_velocity_x_gt4py____gtcuda_812031f99c,202.0,0.03259037248790264,0.024507676251232624,0.010081768035888672
_diagnose_velocity_y_gt4py____gtcuda_838c5befc4,202.0,0.03212572110351175,0.023955452721565962,0.00920724868774414
_smagorinsky2d_gt4py____gtcuda_d9468699c6,202.0,0.17129554331768304,0.16139637725427747,0.011616230010986328
_diagnose_momenta_gt4py____gtcuda_7d764d8e25,202.0,0.046578261884860694,0.03656471718568355,0.011408090591430664
_kessler_gt4py____gtcuda_bf555d9f6f,202.0,0.0865381439216435,0.07114597235340625,0.021806716918945312
_saturation_adjustment_prognostic_gt4py____gtcuda_488bc7ada9,202.0,0.08598258323036134,0.07316762825939804,0.016762495040893555
iadd_gt4py____gtcuda_5d6486d23e,202.0,0.029744258266873658,0.02314149192534387,0.008449316024780273
_vertical_advection_gt4py____gtcuda_f0d8b489ce,303.0,0.47562730533536524,0.4516093167476356,0.03925323486328125
_fall_velocity_gt4py____gtcuda_9bd8338835,404.0,0.15232205600477755,0.13393780158367008,0.021991729736328125
_sedimentation_gt4py____gtcuda_69c2cd22f2,303.0,0.09861884010024369,0.08555610140319914,0.020656108856201172
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011147081153467298,0.0062323970487341285,0.004420757293701172
